Date Reported,Holder,pctHeld,Shares,Value,pctChange
2026-03-31,Blackrock Inc.,0.0867,121207647,58952975939,0.0001
2026-03-31,Vanguard Capital Management LLC,0.084,117415535,57108568486,1.0
2026-03-31,State Street Corporation,0.053000003,74099062,36040302137,0.0023999999
2026-03-31,"Geode Capital Management, LLC",0.0294,41159806,20019306643,0.028399998
2026-03-31,Morgan Stanley,0.019199999,26854441,13061463144,0.0219
2026-03-31,Vanguard Portfolio Management LLC,0.017,23728514,11541074755,1.0
2026-03-31,Gates Foundation Trust,0.012200001,17048304,8291954182,-0.12149999
2026-03-31,JPMORGAN CHASE & CO,0.0117,16361338,7957827656,0.2699
2026-03-31,Northern Trust Corporation,0.0111,15487316,7532720831,-0.0026
2026-03-31,"FMR, LLC",0.0107,14953698,7273179706,0.581
