,2026-03-31,2025-12-31,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Free Cash Flow,5452000000.0,4990000000.0,5227000000.0,6622000000.0,-726000000.0,
Repurchase Of Capital Stock,-235000000.0,0.0,0.0,0.0,0.0,
Repayment Of Debt,-3256000000.0,-1099000000.0,-3480000000.0,-1742000000.0,-1937000000.0,
Issuance Of Debt,4575000000.0,3423000000.0,1940000000.0,2353000000.0,3880000000.0,
Capital Expenditure,-4986000000.0,-6202000000.0,-4858000000.0,-4281000000.0,-5347000000.0,
Interest Paid Supplemental Data,1427000000.0,,,1340000000.0,,
Income Tax Paid Supplemental Data,382000000.0,,,392000000.0,,
End Cash Position,58810000000.0,52569000000.0,101228000000.0,42855000000.0,48376000000.0,
Beginning Cash Position,52569000000.0,77111000000.0,42855000000.0,48376000000.0,37992000000.0,
Effect Of Exchange Rate Changes,-63000000.0,147000000.0,96000000.0,-76000000.0,-158000000.0,
Changes In Cash,6304000000.0,-24689000000.0,58277000000.0,-5445000000.0,10542000000.0,
Financing Cash Flow,174000000.0,2511000000.0,-1166000000.0,53000000.0,1653000000.0,
Cash Flow From Continuing Financing Activities,174000000.0,2511000000.0,-1166000000.0,53000000.0,1653000000.0,
Net Other Financing Charges,51000000.0,-63000000.0,-611000000.0,-143000000.0,-638000000.0,
Net Common Stock Issuance,-235000000.0,0.0,0.0,0.0,0.0,
Common Stock Payments,-235000000.0,0.0,0.0,0.0,0.0,
Net Issuance Payments Of Debt,358000000.0,2574000000.0,-555000000.0,196000000.0,2291000000.0,
Net Short Term Debt Issuance,-961000000.0,250000000.0,985000000.0,-415000000.0,348000000.0,
Net Long Term Debt Issuance,1319000000.0,2324000000.0,-1540000000.0,611000000.0,1943000000.0,
Long Term Debt Payments,-3256000000.0,-1099000000.0,-3480000000.0,-1742000000.0,-1937000000.0,
Long Term Debt Issuance,4575000000.0,3423000000.0,1940000000.0,2353000000.0,3880000000.0,
Investing Cash Flow,-4308000000.0,-38392000000.0,49358000000.0,-16401000000.0,4268000000.0,
Cash Flow From Continuing Investing Activities,-4308000000.0,-38392000000.0,49358000000.0,-16401000000.0,4268000000.0,
Net Other Investing Changes,325000000.0,815000000.0,105000000.0,292000000.0,210000000.0,
Net Investment Purchase And Sale,10043000000.0,-31931000000.0,54021000000.0,-12322000000.0,9439000000.0,
Sale Of Investment,215606000000.0,113304000000.0,149071000000.0,149583000000.0,154485000000.0,
Purchase Of Investment,-205563000000.0,-145235000000.0,-95050000000.0,-161905000000.0,-145046000000.0,
Net Business Purchase And Sale,-9690000000.0,,,-90000000.0,-34000000.0,-20000000.0
Purchase Of Business,-9690000000.0,,,-90000000.0,-34000000.0,-20000000.0
Net PPE Purchase And Sale,-4986000000.0,-6202000000.0,-4858000000.0,-4281000000.0,-5347000000.0,
Purchase Of PPE,-4986000000.0,-6202000000.0,-4858000000.0,-4281000000.0,-5347000000.0,
Operating Cash Flow,10438000000.0,11192000000.0,10085000000.0,10903000000.0,4621000000.0,
Cash Flow From Continuing Operating Activities,10438000000.0,11192000000.0,10085000000.0,10903000000.0,4621000000.0,
Change In Working Capital,-2065000000.0,1891000000.0,-2619000000.0,-1844000000.0,-6801000000.0,
Change In Other Working Capital,1788000000.0,11000000.0,-3026000000.0,373000000.0,-6880000000.0,
Change In Other Current Liabilities,-988000000.0,-800000000.0,921000000.0,-1291000000.0,-559000000.0,
Change In Other Current Assets,-1358000000.0,828000000.0,-565000000.0,-297000000.0,1111000000.0,
Change In Receivables,-3173000000.0,3504000000.0,-939000000.0,-3295000000.0,2373000000.0,
Other Non Cash Items,277000000.0,-3868000000.0,6322000000.0,1504000000.0,6289000000.0,
Unrealized Gain Loss On Investment Securities,3291000000.0,-16422000000.0,-8011000000.0,6775000000.0,-4244000000.0,
Amortization Of Securities,-3068000000.0,-3118000000.0,-3040000000.0,-3129000000.0,,
Depreciation And Amortization,3510000000.0,3549000000.0,3329000000.0,3265000000.0,3283000000.0,
Amortization Cash Flow,446000000.0,,419000000.0,444000000.0,,
Amortization Of Intangibles,446000000.0,,419000000.0,444000000.0,,
Depreciation,3064000000.0,,2910000000.0,2821000000.0,,
Operating Gains Losses,-1686000000.0,-788000000.0,1647000000.0,-340000000.0,-2308000000.0,
Gain Loss On Investment Securities,-1686000000.0,-788000000.0,1647000000.0,-340000000.0,-2308000000.0,
Net Income From Continuing Operations,10179000000.0,19267000000.0,12457000000.0,4672000000.0,19751000000.0,
