stock_code,stock_amount,cash_substitute,cash_substitute_proportion,fixed_cash_substitute,redeem_cash_substitute,date
019726.XSHG,42,允许,0.05,,,2024-12-31
019742.XSHG,112,允许,0.05,,,2024-12-31
019750.XSHG,40,允许,0.05,,,2024-12-31
019726.XSHG,42,允许,0.05,,,2025-01-02
019742.XSHG,112,允许,0.05,,,2025-01-02
019750.XSHG,40,允许,0.05,,,2025-01-02
019726.XSHG,42,允许,0.05,,,2025-01-03
019742.XSHG,112,允许,0.05,,,2025-01-03
019750.XSHG,40,允许,0.05,,,2025-01-03
019726.XSHG,42,允许,0.05,,,2025-01-06
019742.XSHG,112,允许,0.05,,,2025-01-06
019750.XSHG,40,允许,0.05,,,2025-01-06
019726.XSHG,42,允许,0.05,,,2025-01-07
019742.XSHG,112,允许,0.05,,,2025-01-07
019750.XSHG,40,允许,0.05,,,2025-01-07
019726.XSHG,42,允许,0.05,,,2025-01-08
019742.XSHG,112,允许,0.05,,,2025-01-08
019750.XSHG,40,允许,0.05,,,2025-01-08
019726.XSHG,42,允许,0.05,,,2025-01-09
019742.XSHG,112,允许,0.05,,,2025-01-09
019750.XSHG,40,允许,0.05,,,2025-01-09
019726.XSHG,42,允许,0.05,,,2025-01-10
019742.XSHG,112,允许,0.05,,,2025-01-10
019750.XSHG,40,允许,0.05,,,2025-01-10
019726.XSHG,42,允许,0.05,,,2025-01-13
019742.XSHG,112,允许,0.05,,,2025-01-13
019750.XSHG,40,允许,0.05,,,2025-01-13
019726.XSHG,42,允许,0.05,,,2025-01-14
019742.XSHG,112,允许,0.05,,,2025-01-14
019750.XSHG,40,允许,0.05,,,2025-01-14
019726.XSHG,42,允许,0.05,,,2025-01-15
019742.XSHG,112,允许,0.05,,,2025-01-15
019750.XSHG,40,允许,0.05,,,2025-01-15
019726.XSHG,42,允许,0.05,,,2025-01-16
019742.XSHG,112,允许,0.05,,,2025-01-16
019750.XSHG,40,允许,0.05,,,2025-01-16
019726.XSHG,42,允许,0.05,,,2025-01-17
019742.XSHG,112,允许,0.05,,,2025-01-17
019750.XSHG,40,允许,0.05,,,2025-01-17
019726.XSHG,41,允许,0.05,,,2025-01-20
019742.XSHG,113,允许,0.05,,,2025-01-20
019750.XSHG,40,允许,0.05,,,2025-01-20
019726.XSHG,42,允许,0.05,,,2025-01-21
019742.XSHG,112,允许,0.05,,,2025-01-21
019750.XSHG,40,允许,0.05,,,2025-01-21
019726.XSHG,42,允许,0.05,,,2025-01-22
019742.XSHG,112,允许,0.05,,,2025-01-22
019750.XSHG,40,允许,0.05,,,2025-01-22
019726.XSHG,42,允许,0.05,,,2025-01-23
019742.XSHG,112,允许,0.05,,,2025-01-23
019750.XSHG,40,允许,0.05,,,2025-01-23
019726.XSHG,41,允许,0.05,,,2025-01-24
019742.XSHG,114,允许,0.05,,,2025-01-24
019750.XSHG,39,允许,0.05,,,2025-01-24
019726.XSHG,41,允许,0.05,,,2025-01-27
019742.XSHG,114,允许,0.05,,,2025-01-27
019750.XSHG,39,允许,0.05,,,2025-01-27
019726.XSHG,41,允许,0.05,,,2025-02-05
019742.XSHG,114,允许,0.05,,,2025-02-05
019750.XSHG,39,允许,0.05,,,2025-02-05
019726.XSHG,41,允许,0.05,,,2025-02-06
019742.XSHG,114,允许,0.05,,,2025-02-06
019750.XSHG,39,允许,0.05,,,2025-02-06
019726.XSHG,41,允许,0.05,,,2025-02-07
019742.XSHG,114,允许,0.05,,,2025-02-07
019750.XSHG,39,允许,0.05,,,2025-02-07
019726.XSHG,41,允许,0.05,,,2025-02-10
019742.XSHG,114,允许,0.05,,,2025-02-10
019750.XSHG,39,允许,0.05,,,2025-02-10
019726.XSHG,41,允许,0.05,,,2025-02-11
019742.XSHG,114,允许,0.05,,,2025-02-11
019750.XSHG,39,允许,0.05,,,2025-02-11
019726.XSHG,41,允许,0.05,,,2025-02-12
019742.XSHG,114,允许,0.05,,,2025-02-12
019750.XSHG,39,允许,0.05,,,2025-02-12
019726.XSHG,41,允许,0.05,,,2025-02-13
019742.XSHG,114,允许,0.05,,,2025-02-13
019750.XSHG,39,允许,0.05,,,2025-02-13
019726.XSHG,41,允许,0.05,,,2025-02-14
019742.XSHG,114,允许,0.05,,,2025-02-14
019750.XSHG,39,允许,0.05,,,2025-02-14
019726.XSHG,41,允许,0.05,,,2025-02-17
019742.XSHG,114,允许,0.05,,,2025-02-17
019750.XSHG,39,允许,0.05,,,2025-02-17
019726.XSHG,40,允许,0.05,,,2025-02-18
019742.XSHG,115,允许,0.05,,,2025-02-18
019750.XSHG,39,允许,0.05,,,2025-02-18
019726.XSHG,40,允许,0.05,,,2025-02-19
019742.XSHG,113,允许,0.05,,,2025-02-19
019750.XSHG,42,允许,0.05,,,2025-02-19
019726.XSHG,40,允许,0.05,,,2025-02-20
019742.XSHG,113,允许,0.05,,,2025-02-20
019750.XSHG,41,允许,0.05,,,2025-02-20
019726.XSHG,41,允许,0.05,,,2025-02-21
019742.XSHG,113,允许,0.05,,,2025-02-21
019750.XSHG,41,允许,0.05,,,2025-02-21
019726.XSHG,39,允许,0.05,,,2025-02-24
019742.XSHG,116,允许,0.05,,,2025-02-24
019750.XSHG,40,允许,0.05,,,2025-02-24
019726.XSHG,40,允许,0.05,,,2025-02-25
019742.XSHG,115,允许,0.05,,,2025-02-25
019750.XSHG,40,允许,0.05,,,2025-02-25
019726.XSHG,40,允许,0.05,,,2025-02-26
019742.XSHG,114,允许,0.05,,,2025-02-26
019750.XSHG,40,允许,0.05,,,2025-02-26
019726.XSHG,40,允许,0.05,,,2025-02-27
019742.XSHG,114,允许,0.05,,,2025-02-27
019750.XSHG,40,允许,0.05,,,2025-02-27
019726.XSHG,40,允许,0.05,,,2025-02-28
019742.XSHG,114,允许,0.05,,,2025-02-28
019750.XSHG,41,允许,0.05,,,2025-02-28
019726.XSHG,38,允许,0.05,,,2025-03-03
019742.XSHG,116,允许,0.05,,,2025-03-03
019750.XSHG,41,允许,0.05,,,2025-03-03
019726.XSHG,38,允许,0.05,,,2025-03-04
019742.XSHG,115,允许,0.05,,,2025-03-04
019750.XSHG,40,允许,0.05,,,2025-03-04
019726.XSHG,37,允许,0.05,,,2025-03-05
019742.XSHG,117,允许,0.05,,,2025-03-05
019750.XSHG,39,允许,0.05,,,2025-03-05
019726.XSHG,38,允许,0.05,,,2025-03-06
019742.XSHG,115,允许,0.05,,,2025-03-06
019750.XSHG,40,允许,0.05,,,2025-03-06
019726.XSHG,38,允许,0.05,,,2025-03-07
019742.XSHG,115,允许,0.05,,,2025-03-07
019750.XSHG,40,允许,0.05,,,2025-03-07
019726.XSHG,39,允许,0.05,,,2025-03-10
019742.XSHG,115,允许,0.05,,,2025-03-10
019750.XSHG,39,允许,0.05,,,2025-03-10
019726.XSHG,43,允许,0.05,,,2025-03-11
019742.XSHG,107,允许,0.05,,,2025-03-11
019750.XSHG,42,允许,0.05,,,2025-03-11
019726.XSHG,43,允许,0.05,,,2025-03-12
019742.XSHG,107,允许,0.05,,,2025-03-12
019750.XSHG,42,允许,0.05,,,2025-03-12
019726.XSHG,42,允许,0.05,,,2025-03-13
019742.XSHG,107,允许,0.05,,,2025-03-13
019750.XSHG,43,允许,0.05,,,2025-03-13
019726.XSHG,42,允许,0.05,,,2025-03-14
019742.XSHG,107,允许,0.05,,,2025-03-14
019750.XSHG,43,允许,0.05,,,2025-03-14
019726.XSHG,42,允许,0.05,,,2025-03-17
019742.XSHG,107,允许,0.05,,,2025-03-17
019750.XSHG,43,允许,0.05,,,2025-03-17
019726.XSHG,42,允许,0.05,,,2025-03-18
019742.XSHG,107,允许,0.05,,,2025-03-18
019750.XSHG,43,允许,0.05,,,2025-03-18
019726.XSHG,42,允许,0.05,,,2025-03-19
019742.XSHG,107,允许,0.05,,,2025-03-19
019750.XSHG,43,允许,0.05,,,2025-03-19
019726.XSHG,42,允许,0.05,,,2025-03-20
019742.XSHG,107,允许,0.05,,,2025-03-20
019750.XSHG,43,允许,0.05,,,2025-03-20
019726.XSHG,42,允许,0.05,,,2025-03-21
019742.XSHG,107,允许,0.05,,,2025-03-21
019750.XSHG,43,允许,0.05,,,2025-03-21
019726.XSHG,42,允许,0.05,,,2025-03-24
019742.XSHG,107,允许,0.05,,,2025-03-24
019750.XSHG,43,允许,0.05,,,2025-03-24
019726.XSHG,42,允许,0.05,,,2025-03-25
019742.XSHG,107,允许,0.05,,,2025-03-25
019750.XSHG,43,允许,0.05,,,2025-03-25
019726.XSHG,42,允许,0.05,,,2025-03-26
019742.XSHG,107,允许,0.05,,,2025-03-26
019750.XSHG,43,允许,0.05,,,2025-03-26
019726.XSHG,42,允许,0.05,,,2025-03-27
019742.XSHG,107,允许,0.05,,,2025-03-27
019750.XSHG,43,允许,0.05,,,2025-03-27
019726.XSHG,42,允许,0.05,,,2025-03-28
019742.XSHG,107,允许,0.05,,,2025-03-28
019750.XSHG,43,允许,0.05,,,2025-03-28
019726.XSHG,42,允许,0.05,,,2025-03-31
019742.XSHG,107,允许,0.05,,,2025-03-31
019750.XSHG,43,允许,0.05,,,2025-03-31
019726.XSHG,42,允许,0.05,,,2025-04-01
019742.XSHG,107,允许,0.05,,,2025-04-01
019750.XSHG,43,允许,0.05,,,2025-04-01
019726.XSHG,42,允许,0.05,,,2025-04-02
019742.XSHG,107,允许,0.05,,,2025-04-02
019750.XSHG,43,允许,0.05,,,2025-04-02
019726.XSHG,42,允许,0.05,,,2025-04-03
019742.XSHG,107,允许,0.05,,,2025-04-03
019750.XSHG,43,允许,0.05,,,2025-04-03
019726.XSHG,42,允许,0.05,,,2025-04-07
019742.XSHG,107,允许,0.05,,,2025-04-07
019750.XSHG,43,允许,0.05,,,2025-04-07
019726.XSHG,42,允许,0.05,,,2025-04-08
019742.XSHG,107,允许,0.05,,,2025-04-08
019750.XSHG,43,允许,0.05,,,2025-04-08
019726.XSHG,42,允许,0.05,,,2025-04-09
019742.XSHG,107,允许,0.05,,,2025-04-09
019750.XSHG,43,允许,0.05,,,2025-04-09
019767.XSHG,0,必须,,0.0,,2025-04-09
019726.XSHG,42,允许,0.05,,,2025-04-10
019742.XSHG,107,允许,0.05,,,2025-04-10
019750.XSHG,43,允许,0.05,,,2025-04-10
019767.XSHG,0,必须,,0.0,,2025-04-10
019726.XSHG,42,允许,0.05,,,2025-04-11
019742.XSHG,107,允许,0.05,,,2025-04-11
019750.XSHG,43,允许,0.05,,,2025-04-11
019767.XSHG,0,必须,,0.0,,2025-04-11
019726.XSHG,42,允许,0.05,,,2025-04-14
019742.XSHG,107,允许,0.05,,,2025-04-14
019750.XSHG,43,允许,0.05,,,2025-04-14
019767.XSHG,0,必须,,0.0,,2025-04-14
019726.XSHG,43,允许,0.05,,,2025-04-15
019742.XSHG,107,允许,0.05,,,2025-04-15
