pre_date,cash_component,nav_per_basket,est_cash_component,max_cash_ratio,unit_subscribe_redeem
2024-12-30,452.66,222519.79,433.23,1.0,2000
2024-12-31,446.0,224159.97,420.27,1.0,2000
2025-01-02,204.28,227415.34,191.94,1.0,2000
2025-01-03,240.29,228025.0,205.33,1.0,2000
2025-01-06,260.19,228046.43,247.3,1.0,2000
2025-01-07,416.21,226922.69,398.79,1.0,2000
2025-01-08,485.68,226459.21,466.14,1.0,2000
2025-01-09,595.32,225075.7,580.95,1.0,2000
2025-01-10,496.92,225456.33,454.56,1.0,2000
2025-01-13,559.36,225373.11,549.44,1.0,2000
2025-01-14,572.28,225113.88,562.72,1.0,2000
2025-01-15,539.6,226440.64,528.0,1.0,2000
2025-01-16,454.34,226129.43,445.0,1.0,2000
2025-01-17,648.46,225472.6,699.6,1.0,2000
2025-01-20,765.2,224827.78,649.85,1.0,2000
2025-01-21,585.75,225724.06,571.8,1.0,2000
2025-01-22,518.14,226068.31,505.42,1.0,2000
2025-01-23,579.76,225857.76,647.25,1.0,2000
2025-01-24,607.0,226216.15,1051.82,1.0,2000
2025-01-27,1057.43,227607.64,925.91,1.0,2000
2025-02-05,985.43,228916.35,975.83,1.0,2000
2025-02-06,970.2,229799.06,962.54,1.0,2000
2025-02-07,986.96,229722.76,940.49,1.0,2000
2025-02-10,973.12,228786.73,964.03,1.0,2000
2025-02-11,960.53,229392.38,946.2,1.0,2000
2025-02-12,1020.34,229328.91,1001.2,1.0,2000
2025-02-13,1029.13,229469.94,1014.3,1.0,2000
2025-02-14,1108.88,228705.33,1064.87,1.0,2000
2025-02-17,1022.54,226882.0,1111.76,1.0,2000
2025-02-18,1098.06,226370.22,26.49,1.0,2000
2025-02-19,6.4,226759.91,1110.39,1.0,2000
2025-02-20,1262.66,225494.43,10.36,1.0,2000
2025-02-21,-65.29,224406.19,56.86,1.0,2000
2025-02-24,192.06,222117.76,80.16,1.0,2000
2025-02-25,-31.55,222843.65,1089.53,1.0,2000
2025-02-26,1107.18,223135.81,1090.34,1.0,2000
2025-02-27,1125.21,222613.24,16.97,1.0,2000
2025-02-28,-17.3,223653.43,138.63,1.0,2000
2025-03-03,193.33,224596.16,167.17,1.0,2000
2025-03-04,150.51,222310.17,202.32,1.0,2000
2025-03-05,230.04,222801.39,154.56,1.0,2000
2025-03-06,136.87,221351.99,122.13,1.0,2000
2025-03-07,201.96,218840.1,30.53,1.0,2000
2025-03-10,65.64,218249.51,851.12,1.0,2000
2025-03-11,849.8,216093.31,831.46,1.0,2000
2025-03-12,825.19,216764.61,933.79,1.0,2000
2025-03-13,961.78,216474.03,950.63,1.0,2000
2025-03-14,1000.09,215441.24,961.62,1.0,2000
2025-03-17,985.51,212932.35,970.78,1.0,2000
2025-03-18,995.8,211823.53,984.28,1.0,2000
2025-03-19,971.63,212447.46,959.37,1.0,2000
2025-03-20,944.44,215088.16,927.61,1.0,2000
2025-03-21,968.11,214966.92,924.69,1.0,2000
2025-03-24,942.02,215588.53,923.15,1.0,2000
2025-03-25,928.48,216862.68,918.29,1.0,2000
2025-03-26,944.43,217635.62,929.31,1.0,2000
2025-03-27,936.34,218172.44,922.33,1.0,2000
2025-03-28,957.93,216577.22,912.68,1.0,2000
2025-03-31,956.06,216571.84,945.62,1.0,2000
2025-04-01,949.68,216966.56,933.25,1.0,2000
2025-04-02,938.25,218887.62,927.79,1.0,2000
2025-04-03,939.62,222272.99,882.31,1.0,2000
2025-04-07,938.77,226226.82,930.21,1.0,2000
2025-04-08,966.13,224160.38,955.66,1.0,2000
2025-04-09,974.61,224554.35,957.85,1.0,2000
2025-04-10,973.16,223963.6,963.82,1.0,2000
2025-04-11,959.0,223799.04,913.21,1.0,2000
2025-04-14,946.91,224162.76,325.23,1.0,2000
2025-04-15,347.51,224071.73,330.88,1.0,2000
2025-04-16,338.89,224544.0,546.69,1.0,2000
2025-04-17,571.0,223268.73,559.11,1.0,2000
2025-04-18,557.98,223720.36,514.87,1.0,2000
2025-04-21,555.22,223153.54,318.85,1.0,2000
2025-04-22,303.07,224057.94,284.16,1.0,2000
2025-04-23,322.52,223317.28,315.52,1.0,2000
2025-04-24,334.67,223274.9,324.74,1.0,2000
2025-04-25,323.64,223811.75,278.92,1.0,2000
2025-04-28,261.34,224794.89,429.03,1.0,2000
2025-04-29,291.35,226379.34,774.63,1.0,2000
2025-04-30,1103.93,226456.93,258.55,1.0,2000
2025-05-06,321.06,226542.11,306.49,1.0,2000
2025-05-07,294.24,225273.25,281.13,1.0,2000
2025-05-08,304.71,225920.58,293.96,1.0,2000
